Age,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,TotalChildren,NumberChildrenAtHome,Education,Occupation,YearlyIncome
38,M,M,1,3,1,0,Bachelors,Clerical,81916
53,M,M,1,2,2,1,Partial College,Clerical,81076
40,F,S,0,3,0,0,Bachelors,Clerical,86387
48,M,M,1,2,2,1,Partial College,Skilled Manual,61481
50,M,S,1,1,0,0,Partial College,Skilled Manual,51804
50,F,M,1,2,2,2,High School,Skilled Manual,61944
54,M,S,1,1,0,0,Partial College,Manual,34919
28,F,M,0,1,0,0,Partial College,Skilled Manual,61832
49,F,M,1,0,2,0,Partial College,Clerical,83834
49,M,S,0,1,0,0,High School,Manual,26880
27,F,S,0,1,0,0,Partial College,Clerical,77258
44,M,M,1,3,0,0,Bachelors,Management,102698
41,F,M,1,1,2,1,Bachelors,Management,108198
65,M,M,1,2,2,0,Bachelors,Professional,133762
34,M,S,0,1,0,0,Partial High School,Manual,30526
34,M,S,0,1,0,0,Partial High School,Manual,30526
54,F,M,1,2,2,0,Partial College,Skilled Manual,56353
60,F,S,1,3,1,1,High School,Clerical,79019
32,M,S,0,2,0,0,Partial College,Skilled Manual,55387
44,M,M,1,2,2,0,Bachelors,Management,113276
62,M,S,1,1,1,0,Partial College,Management,109259
45,F,M,1,0,2,0,High School,Clerical,83845
49,F,M,1,0,2,2,High School,Skilled Manual,59527
64,M,S,1,1,1,0,Bachelors,Management,108360
29,M,M,0,1,0,0,Partial College,Clerical,87504
32,F,M,0,0,0,0,Bachelors,Skilled Manual,55461
36,F,S,1,2,0,0,Bachelors,Professional,137464
35,M,M,1,2,1,0,High School,Clerical,87676
59,M,M,1,3,2,0,Bachelors,Management,104187
42,M,S,0,1,0,0,Bachelors,Clerical,78222
39,F,M,1,2,1,0,Graduate Degree,Clerical,77383
41,F,M,1,1,2,2,High School,Skilled Manual,60700
45,F,S,0,0,0,0,High School,Manual,30913
47,F,S,1,2,0,0,Partial College,Clerical,86952
47,M,M,1,2,2,1,Graduate Degree,Skilled Manual,58567
28,M,M,0,0,0,0,Partial College,Clerical,77478
37,M,M,1,2,1,0,Bachelors,Clerical,78406
35,M,S,0,1,0,0,Partial College,Clerical,85318
29,F,S,0,0,0,0,High School,Skilled Manual,52928
38,F,S,0,2,0,0,Bachelors,Clerical,79224
42,M,M,0,0,1,0,Partial College,Manual,33076
40,F,M,1,1,2,0,High School,Skilled Manual,56641
43,M,M,1,0,1,0,High School,Manual,27203
39,F,S,0,3,0,0,High School,Clerical,77098
37,M,M,1,3,2,2,Bachelors,Management,103200
41,F,S,0,2,0,0,Bachelors,Skilled Manual,53784
51,F,S,0,1,0,0,Partial College,Manual,25826
43,M,M,1,0,1,1,High School,Manual,30925
54,F,M,1,1,2,1,Partial High School,Manual,30288
40,M,S,0,0,0,0,Bachelors,Manual,34685
36,F,M,0,1,1,1,Graduate Degree,Skilled Manual,58213
30,M,S,0,0,0,0,Partial College,Management,108342
38,F,M,1,2,1,1,Bachelors,Professional,130385
41,F,S,0,2,0,0,Partial College,Skilled Manual,58227
31,M,S,0,1,0,0,Partial College,Skilled Manual,52156
39,M,S,1,2,0,0,Graduate Degree,Professional,131458
27,M,S,0,1,0,0,Partial College,Manual,33510
59,F,S,1,1,1,0,High School,Skilled Manual,56785
32,F,S,0,1,0,0,Partial College,Skilled Manual,58201
40,F,M,1,2,1,0,Bachelors,Clerical,82359
40,F,M,1,2,1,0,Bachelors,Clerical,82359
60,F,M,1,2,2,1,Partial High School,Skilled Manual,55654
45,M,M,1,1,2,1,High School,Manual,33167
59,F,S,1,3,1,0,Partial College,Management,107883
68,F,M,1,1,2,2,High School,Clerical,80056
40,M,S,0,2,0,0,Partial High School,Skilled Manual,54577
39,M,M,0,0,1,1,Bachelors,Manual,36070
41,M,M,1,2,2,1,Bachelors,Skilled Manual,54049
26,M,S,0,1,0,0,Partial College,Management,112726
54,M,M,1,1,2,0,Partial College,Manual,29749
47,M,M,1,2,2,2,Bachelors,Skilled Manual,56820
55,F,S,1,3,0,0,Partial College,Management,102647
29,F,S,0,2,0,0,Partial College,Clerical,82258
48,M,M,1,1,2,2,High School,Skilled Manual,54200
29,F,S,0,2,0,0,Partial College,Skilled Manual,60908
38,M,S,1,2,0,0,Bachelors,Management,105007
49,F,M,1,0,1,1,High School,Manual,32319
43,M,S,0,1,0,0,Partial College,Skilled Manual,52311
45,F,S,1,2,0,0,Partial College,Clerical,82851
54,M,M,1,1,2,2,High School,Manual,29111
37,M,M,1,1,1,1,Graduate Degree,Clerical,81985
56,F,S,1,0,0,0,Partial High School,Manual,33954
30,F,S,0,0,0,0,Partial College,Manual,29016
58,F,M,1,0,2,1,High School,Manual,33152
68,M,M,1,1,2,2,Graduate Degree,Clerical,80331
59,F,S,1,1,1,1,Bachelors,Clerical,79235
36,F,S,0,1,0,0,Graduate Degree,Manual,35390
31,M,S,0,3,0,0,Graduate Degree,Professional,136457
53,F,S,1,1,0,0,High School,Skilled Manual,53549
44,F,M,1,0,2,1,Partial College,Clerical,85674
58,M,M,1,3,2,0,Bachelors,Professional,129242
49,F,M,1,1,2,2,Partial High School,Skilled Manual,61829
41,M,S,1,3,0,0,Bachelors,Management,111980
38,F,M,1,0,1,1,Bachelors,Skilled Manual,54675
38,F,M,1,0,1,1,Bachelors,Skilled Manual,54675
48,F,S,1,3,0,0,Partial College,Management,106648
32,M,S,0,1,0,0,Partial High School,Skilled Manual,58037
33,F,M,1,2,1,0,Partial College,Management,106062
40,M,S,0,1,0,0,High School,Manual,28008
65,M,M,1,2,3,0,Graduate Degree,Clerical,86828
44,M,S,0,2,0,0,Partial College,Skilled Manual,61109
67,F,M,1,1,2,1,Graduate Degree,Manual,35142
28,F,M,0,2,0,0,High School,Skilled Manual,59673
62,M,M,1,3,2,1,Bachelors,Professional,133272
62,M,S,1,3,1,0,Partial College,Clerical,81957
31,F,S,0,1,0,0,Partial College,Management,103314
38,F,S,1,2,0,0,Graduate Degree,Management,103546
37,M,M,0,0,1,1,Bachelors,Skilled Manual,58317
65,M,M,1,2,2,0,Bachelors,Skilled Manual,55825
39,F,S,0,1,0,0,Graduate Degree,Manual,36367
37,F,S,0,2,0,0,Bachelors,Management,107852
29,M,M,1,0,0,0,Bachelors,Management,105888
49,M,S,0,1,0,0,Partial High School,Manual,31956
28,F,M,0,0,0,0,High School,Clerical,83026
39,M,S,1,2,0,0,Graduate Degree,Management,110808
57,F,M,1,1,2,2,Partial High School,Skilled Manual,51566
42,F,M,1,3,2,1,Bachelors,Professional,132962
52,M,S,1,2,0,0,Graduate Degree,Professional,135064
52,F,S,1,2,0,0,Graduate Degree,Professional,135997
34,F,S,0,1,0,0,High School,Skilled Manual,57770
32,M,S,0,1,0,0,Bachelors,Management,113290
63,F,M,1,1,2,1,Partial College,Clerical,81214
45,F,M,1,2,2,0,Bachelors,Clerical,80624
59,F,S,1,2,1,0,Bachelors,Management,106908
40,M,S,0,1,0,0,Bachelors,Skilled Manual,51796
35,M,M,1,2,2,1,Graduate Degree,Clerical,80764
41,F,M,0,0,1,0,Partial High School,Manual,35297
28,F,S,0,1,0,0,Partial College,Clerical,78604
42,M,M,1,3,0,0,Bachelors,Management,102869
50,M,M,1,1,2,1,High School,Skilled Manual,62293
43,M,S,0,1,0,0,Partial College,Manual,34607
49,F,M,1,2,2,1,Partial College,Skilled Manual,53042
34,F,S,0,1,0,0,Bachelors,Management,106195
53,F,M,1,2,2,0,Partial College,Management,106360
47,M,M,1,2,1,1,Partial College,Management,110288
33,M,S,0,1,0,0,Graduate Degree,Management,112590
56,M,M,1,0,2,1,Partial College,Manual,30844
65,M,M,1,2,3,0,Graduate Degree,Management,109611
38,F,S,1,2,0,0,Partial College,Management,111685
66,F,S,1,0,1,1,Graduate Degree,Manual,30259
29,M,S,0,2,0,0,Partial College,Clerical,82339
44,M,S,1,1,0,0,High School,Clerical,87633
36,M,S,0,1,0,0,Graduate Degree,Clerical,80782
49,F,M,1,1,2,0,Partial College,Skilled Manual,57125
45,M,S,0,2,0,0,Bachelors,Skilled Manual,56092
46,F,M,1,2,0,0,Graduate Degree,Professional,131943
55,M,M,1,2,2,0,Partial High School,Skilled Manual,52627
45,M,M,1,1,2,0,Partial College,Manual,26331
31,M,S,0,1,0,0,Bachelors,Manual,27908
40,M,S,0,1,0,0,High School,Skilled Manual,56751
52,M,M,1,1,2,1,Bachelors,Manual,32619
40,F,M,1,3,0,0,Bachelors,Management,105983
34,F,M,1,1,2,1,Graduate Degree,Professional,128877
61,F,S,1,2,1,1,High School,Skilled Manual,55000
30,F,S,0,1,0,0,High School,Skilled Manual,50910
40,M,M,1,2,1,1,Partial College,Skilled Manual,57493
63,F,S,1,0,1,1,Partial College,Clerical,82095
30,M,S,0,2,0,0,Bachelors,Professional,136001
38,F,M,1,3,0,0,Bachelors,Management,104443
41,F,S,0,1,0,0,Partial College,Skilled Manual,59013
46,M,S,0,1,0,0,Partial College,Skilled Manual,54240
58,F,M,1,3,2,0,Bachelors,Management,103150
45,F,M,1,3,2,1,Partial College,Management,108823
29,F,S,0,2,0,0,High School,Clerical,77300
48,F,M,1,2,1,0,Partial College,Clerical,82308
47,F,S,1,1,0,0,Graduate Degree,Professional,129719
29,M,S,0,0,0,0,Partial College,Manual,36588
48,F,S,1,3,0,0,Partial College,Clerical,81053
54,F,M,1,0,2,2,High School,Manual,35160
49,M,S,1,1,0,0,High School,Skilled Manual,57655
51,M,M,1,2,1,1,Partial High School,Skilled Manual,61513
25,M,M,0,0,0,0,High School,Skilled Manual,57933
32,M,S,0,2,0,0,Bachelors,Management,104429
53,M,M,1,0,2,0,High School,Manual,32494
27,F,M,0,2,0,0,High School,Skilled Manual,51293
60,M,M,1,3,2,1,Partial College,Clerical,78805
25,M,S,0,1,0,0,Partial High School,Manual,33244
43,M,M,1,1,1,1,Partial College,Manual,30115
59,M,S,1,1,1,1,Partial College,Skilled Manual,55404
52,F,S,0,0,0,0,Partial College,Manual,34165
49,M,M,1,2,2,1,High School,Skilled Manual,57132
36,M,S,1,2,0,0,Graduate Degree,Professional,132560
51,M,M,1,1,2,1,High School,Skilled Manual,53062
63,F,M,1,0,2,1,Bachelors,Clerical,79950
42,M,M,1,2,1,0,Bachelors,Clerical,83167
43,M,S,1,0,0,0,Partial College,Clerical,77729
52,F,M,1,1,1,1,Partial College,Skilled Manual,54058
46,F,M,1,1,2,0,Graduate Degree,Clerical,87071
30,F,S,0,0,0,0,High School,Manual,26818
52,M,M,1,0,2,0,Bachelors,Skilled Manual,52630
49,M,M,1,2,2,0,Partial College,Clerical,83410
45,F,M,1,2,2,1,Partial College,Clerical,83299
62,F,S,1,1,1,1,Bachelors,Skilled Manual,54201
39,F,S,1,2,0,0,Graduate Degree,Professional,133136
26,M,S,0,2,0,0,Partial High School,Skilled Manual,60371
48,F,M,1,1,2,1,Partial College,Skilled Manual,55220
45,M,M,1,1,2,0,Partial College,Clerical,85098
37,M,S,1,2,0,0,Bachelors,Professional,129013
37,F,S,0,2,0,0,Bachelors,Management,106013
29,F,S,0,2,0,0,Partial College,Clerical,77922
37,F,M,1,3,0,0,Graduate Degree,Management,104734
32,F,S,0,2,0,0,Partial College,Clerical,83202
61,M,M,1,1,2,1,High School,Skilled Manual,61391
54,F,S,1,0,0,0,High School,Clerical,82687
30,M,S,0,1,0,0,Partial College,Clerical,83361
31,F,M,0,2,0,0,Bachelors,Skilled Manual,57161
44,F,M,1,3,2,1,Graduate Degree,Management,109320
45,M,M,1,1,2,1,Partial College,Manual,27866
52,F,S,1,1,0,0,High School,Skilled Manual,53889
58,M,M,1,0,2,0,Partial High School,Skilled Manual,53916
26,F,M,0,1,0,0,High School,Skilled Manual,56880
48,F,M,1,3,2,1,High School,Clerical,85533
42,F,S,1,1,0,0,Bachelors,Management,109072
43,M,M,1,4,2,0,Graduate Degree,Management,110148
40,F,M,1,2,2,1,Partial College,Management,103959
26,F,S,0,1,0,0,High School,Skilled Manual,54230
47,F,S,1,2,0,0,Bachelors,Professional,133903
43,M,S,1,1,0,0,Bachelors,Clerical,79311
44,F,M,1,2,2,0,Partial College,Clerical,84084
36,M,S,0,2,0,0,Bachelors,Skilled Manual,54821
51,M,M,1,2,2,1,Partial College,Clerical,77748
59,M,M,1,0,2,2,High School,Manual,27122
42,M,S,0,0,0,0,Partial College,Skilled Manual,62520
27,F,S,0,1,0,0,Partial College,Skilled Manual,55096
60,M,M,1,2,2,1,Bachelors,Clerical,83229
66,F,M,1,0,3,0,Bachelors,Skilled Manual,60347
40,F,M,0,0,1,1,Partial College,Manual,27006
56,M,S,1,0,0,0,High School,Skilled Manual,56071
55,M,S,1,0,0,0,Partial College,Skilled Manual,51705
39,M,M,1,0,2,1,Graduate Degree,Clerical,87993
50,F,M,1,2,2,0,Partial College,Clerical,81913
42,F,S,0,0,0,0,Bachelors,Skilled Manual,55838
46,F,S,0,1,0,0,Partial College,Manual,32924
46,F,M,1,2,2,2,Bachelors,Professional,136633
71,M,M,1,1,3,0,Graduate Degree,Manual,28954
45,M,M,1,1,1,0,Partial College,Clerical,78271
31,M,S,0,0,0,0,Partial College,Skilled Manual,54082
44,F,S,1,2,0,0,Partial College,Management,102019
47,M,M,1,1,2,0,Bachelors,Skilled Manual,58336
38,M,M,1,2,0,0,Bachelors,Management,106235
39,M,M,1,1,2,0,Graduate Degree,Professional,132506
48,F,M,1,0,2,2,Partial College,Skilled Manual,61547
67,M,S,1,2,1,1,Graduate Degree,Professional,134871
36,F,S,0,1,0,0,High School,Skilled Manual,51970
34,F,S,1,3,0,0,Graduate Degree,Professional,129017
56,F,S,1,1,0,0,High School,Skilled Manual,51980
37,F,S,0,1,0,0,Bachelors,Management,107530
35,M,M,1,1,1,0,Graduate Degree,Clerical,80444
43,F,S,1,2,0,0,Partial College,Management,105715
70,M,S,1,0,1,0,Graduate Degree,Clerical,77151
47,F,M,1,1,2,0,Bachelors,Clerical,81669
39,F,S,0,2,0,0,Graduate Degree,Clerical,81432
29,M,S,0,0,0,0,Bachelors,Manual,34298
47,F,M,1,1,2,0,Bachelors,Management,107934
32,F,S,0,2,0,0,Graduate Degree,Management,109457
35,M,M,0,1,1,1,Bachelors,Skilled Manual,54266
37,F,S,0,0,0,0,High School,Manual,26150
39,M,M,1,3,2,1,Graduate Degree,Management,112302
46,F,M,1,3,1,1,Graduate Degree,Clerical,81542
54,M,M,1,2,2,1,High School,Skilled Manual,51854
40,F,S,0,0,0,0,Bachelors,Skilled Manual,54153
41,M,S,1,1,0,0,Bachelors,Management,105736
26,F,S,0,2,0,0,Partial College,Skilled Manual,54626
27,M,M,0,2,0,0,Bachelors,Clerical,83144
64,M,M,1,2,2,2,Graduate Degree,Professional,135029
59,F,M,1,0,2,0,Bachelors,Skilled Manual,52476
52,F,S,1,0,0,0,Bachelors,Clerical,84807
30,F,S,0,0,0,0,High School,Manual,36634
36,F,S,0,3,0,0,Bachelors,Clerical,84866
35,M,M,1,1,2,1,Bachelors,Clerical,79867
64,M,M,1,0,2,0,Graduate Degree,Skilled Manual,51783
62,F,M,1,1,2,1,Graduate Degree,Skilled Manual,55768
47,F,M,1,2,2,1,Partial College,Clerical,80690
31,F,M,0,0,0,0,High School,Manual,30247
48,M,M,1,2,2,0,Partial College,Clerical,83705
35,F,S,0,2,0,0,Bachelors,Management,106597
34,F,M,0,0,2,1,Graduate Degree,Skilled Manual,60958
40,M,S,1,2,0,0,Bachelors,Management,111130
40,M,M,1,0,1,0,Bachelors,Skilled Manual,53604
31,F,M,0,1,0,0,High School,Skilled Manual,57269
41,M,S,0,2,0,0,Bachelors,Skilled Manual,61287
29,F,S,0,1,0,0,High School,Clerical,77098
31,M,M,0,2,0,0,High School,Skilled Manual,52607
52,M,M,1,2,2,0,Bachelors,Professional,130743
45,M,M,1,0,2,1,High School,Skilled Manual,59358
51,M,M,1,0,1,1,High School,Skilled Manual,54025
56,F,M,1,2,2,1,Partial College,Clerical,79556
65,F,M,1,1,2,0,Bachelors,Professional,128521
53,M,M,1,1,2,1,Partial College,Skilled Manual,51642
53,F,S,1,2,0,0,Partial College,Skilled Manual,52484
42,M,S,0,0,0,0,High School,Manual,30051
48,F,M,1,1,1,1,Partial High School,Manual,25495
63,M,M,1,2,2,1,Bachelors,Professional,136250
45,F,S,0,0,0,0,Bachelors,Skilled Manual,51351
42,M,S,1,2,0,0,Bachelors,Professional,134516
32,M,M,0,2,0,0,Partial College,Skilled Manual,58340
55,M,M,1,3,2,1,Partial College,Clerical,78194
35,M,M,0,0,2,1,Graduate Degree,Manual,27849
